vert;label;L;z;maaiveld;H;sig_tot;sig_eff;u;pmax_def_pilot;pmax_grond_pilot;pmin_AB_pilot;pmin_BA_pilot;pmax_def_voorruimen;pmax_grond_voorruimen;pmin_AB_voorruimen;pmin_BA_voorruimen;pmax_def_intrekken;pmax_grond_intrekken;pmin_AB_intrekken;pmin_BA_intrekken;SF_water
1;1;0.00;54.59;55.39;0.80;15.6;15.6;0.0;55.9;55.9;8.9;133.3;51.0;51.0;8.9;111.9;51.0;51.0;8.9;162.5;
2;2;3.59;54.03;55.58;1.55;30.3;30.3;0.0;112.5;141.6;18.1;136.7;112.5;131.4;17.2;116.2;112.5;131.4;19.3;164.6;
3;3;7.18;53.72;55.83;2.11;41.2;38.4;2.8;131.8;200.2;24.4;137.1;131.8;188.5;22.6;117.5;131.8;188.5;26.8;163.8;6.62
4;4;10.78;52.81;55.95;3.14;61.9;50.0;11.9;161.8;286.3;37.5;144.2;161.8;275.6;34.8;125.5;161.8;275.6;41.2;169.7;2.41
5;5;14.37;52.40;56.17;3.77;74.3;58.3;16.0;180.6;335.0;45.0;145.9;180.6;325.7;41.5;128.0;180.6;325.7;49.9;170.1;2.07
6;6;17.96;52.25;56.37;4.12;81.2;63.7;17.5;191.6;362.7;49.6;144.6;191.6;354.2;45.1;127.6;191.6;354.2;55.6;167.6;1.99
7;7;21.55;52.17;56.60;4.43;87.4;69.1;18.3;201.8;388.0;53.4;142.6;201.8;380.3;48.0;126.5;201.8;380.3;60.7;164.4;1.95
8;8;25.15;52.34;56.84;4.50;88.6;72.0;16.6;205.4;398.6;54.4;137.8;205.4;391.0;48.2;122.6;205.4;391.0;62.9;158.4;2.04
9;9;28.74;52.52;57.02;4.50;88.5;73.6;14.8;206.8;403.7;55.4;132.9;206.8;396.2;48.3;118.6;206.8;396.2;65.0;152.3;2.15
10;10;32.33;52.72;57.22;4.50;88.3;75.4;12.8;208.2;409.1;56.1;127.8;208.2;401.6;48.1;114.4;208.2;401.6;66.9;146.0;2.31
11;11;35.92;52.92;57.42;4.50;88.1;77.3;10.8;209.6;414.5;56.7;122.6;209.6;407.0;47.9;110.1;209.6;407.0;68.8;139.7;2.54
12;12;39.51;52.82;57.32;4.50;88.2;76.4;11.8;208.9;411.9;60.8;120.8;208.9;404.3;51.0;109.2;208.9;404.3;74.0;136.6;2.42
13;13;43.11;52.90;57.40;4.50;88.1;77.1;11.0;209.5;414.2;62.7;116.9;209.5;406.6;52.1;106.2;209.5;406.6;77.2;131.6;2.52
14;14;46.70;53.17;57.67;4.50;87.8;79.5;8.3;211.3;421.2;62.7;111.0;211.3;413.7;51.1;101.2;211.3;413.7;78.4;124.5;2.97
15;15;50.29;53.71;58.21;4.50;87.3;84.4;2.9;214.8;435.3;59.6;102.1;214.8;427.8;47.2;93.1;214.8;427.8;76.5;114.3;6.50
16;16;53.88;54.12;58.62;4.50;86.9;86.9;0.0;216.5;442.3;58.0;94.6;216.5;434.9;44.7;86.6;216.5;434.9;76.2;105.7;
17;17;57.48;54.15;58.65;4.50;86.9;86.9;0.0;216.5;442.3;60.6;91.4;216.5;434.8;46.4;84.2;216.5;434.8;79.9;101.2;
18;18;61.07;54.33;58.83;4.50;86.8;86.8;0.0;216.3;442.0;61.6;86.5;216.3;434.5;46.5;80.2;216.3;434.5;82.1;95.1;
19;19;64.66;54.54;59.04;4.50;86.7;86.7;0.0;216.1;441.6;62.1;81.3;216.1;434.1;46.2;75.8;216.1;434.1;83.9;88.7;
20;20;68.25;55.07;59.22;4.15;79.8;79.8;0.0;204.8;412.4;59.2;72.4;204.8;404.0;42.3;67.9;204.8;404.0;82.1;78.6;
21;21;71.84;55.58;59.41;3.82;73.3;73.3;0.0;193.9;383.7;56.4;63.7;193.9;374.3;38.7;60.1;193.9;374.3;80.6;68.7;
22;22;75.44;56.29;59.61;3.31;63.3;63.3;0.0;176.6;336.1;51.5;52.9;176.6;325.3;32.9;50.2;176.6;325.3;76.9;56.7;
23;23;79.03;57.18;59.81;2.63;50.0;50.0;0.0;118.3;218.6;44.7;40.1;118.3;211.7;25.1;38.2;118.3;211.7;71.3;42.6;
24;24;82.62;58.27;60.04;1.77;33.6;33.6;0.0;92.3;144.4;35.6;24.9;92.3;136.6;15.1;24.0;92.3;136.6;63.5;26.2;
25;25;86.21;59.44;60.24;0.80;15.2;15.2;0.0;52.0;52.0;25.7;8.9;47.7;47.7;4.3;8.9;47.7;47.7;54.8;8.9;
